group,expected_turns,eligible_turns,skipped_empty_code,api_error,unparsed,test_pass_judge_yes,test_pass_judge_no,test_nonpass_judge_yes,test_nonpass_judge_no,test_avg_acc_percent,judge_avg_acc_percent,delta_avg_acc_points,agreement_percent,cohen_kappa,expected_trajectories,eligible_trajectories,test_complete_trajectories,judge_complete_trajectories,test_cr_percent,judge_cr_percent,delta_cr_points
java_function__rq2__gpt_oss_20b_non_thinking__base__ci,788,788,0,0,0,342,69,241,136,52.15736041,73.98477157,21.82741116,60.65989848,0.19656894,172,172,30,67,17.44186047,38.95348837,21.5116279
java_function__rq2__gpt_oss_20b_non_thinking__golden__ce,788,788,0,0,0,376,146,159,107,66.24365482,67.89340102,1.6497462,61.29441624,0.12404875,172,172,37,63,21.51162791,36.62790698,15.11627907
java_function__rq2__gpt_oss_20b_thinking__base__ce,788,788,0,0,0,305,99,221,163,51.26903553,66.75126904,15.48223351,59.39086294,0.18085189,172,172,26,64,15.11627907,37.20930233,22.09302326
java_function__rq2__gpt_oss_20b_thinking__base__ci,788,788,0,0,0,330,88,237,133,53.04568528,71.95431472,18.90862944,58.75634518,0.15245824,172,172,31,67,18.02325581,38.95348837,20.93023256
java_function__rq2__gpt_oss_20b_thinking__golden__ce,788,788,0,0,0,374,151,160,103,66.62436548,67.76649746,1.14213198,60.53299492,0.10491176,172,172,36,60,20.93023256,34.88372093,13.95348837
java_function__rq2__qwen3_coder_480b_a35b_instruct__base__ce,788,788,0,0,0,336,127,144,181,58.75634518,60.91370558,2.1573604,65.60913706,0.28484548,172,172,39,54,22.6744186,31.39534884,8.72093024
java_function__rq2__qwen3_coder_480b_a35b_instruct__base__ci,788,788,0,0,0,355,109,182,142,58.88324873,68.14720812,9.26395939,63.07106599,0.21051327,172,172,36,62,20.93023256,36.04651163,15.11627907
java_function__rq2__qwen3_coder_480b_a35b_instruct__golden__ce,788,788,0,0,0,378,172,108,130,69.79695431,61.6751269,-8.12182741,64.46700508,0.21694444,172,172,41,47,23.8372093,27.3255814,3.4883721
java_repository__rq1__deepseek_v31_non_thinking__base__fh,132,132,0,0,0,24,13,17,78,28.03030303,31.06060606,3.03030303,77.27272727,0.45469568,40,40,6,5,15.0,12.5,-2.5
java_repository__rq1__deepseek_v31_non_thinking__golden__fh,132,132,0,0,0,40,17,25,50,43.18181818,49.24242424,6.06060606,68.18181818,0.36231884,40,40,4,7,10.0,17.5,7.5
java_repository__rq1__deepseek_v31_thinking__base__fh,132,132,0,0,0,21,8,27,76,21.96969697,36.36363636,14.39393939,73.48484848,0.37398374,40,40,4,6,10.0,15.0,5.0
java_repository__rq1__deepseek_v31_thinking__golden__fh,132,132,0,0,0,43,14,24,51,43.18181818,50.75757576,7.57575758,71.21212121,0.42542955,40,40,4,8,10.0,20.0,10.0
java_repository__rq1__gpt_5_mini__base__fh,132,132,0,0,0,11,14,11,96,18.93939394,16.66666667,-2.27272727,81.06060606,0.35344828,40,40,5,1,12.5,2.5,-10.0
java_repository__rq1__gpt_5_mini__golden__fh,132,132,0,0,0,23,14,11,84,28.03030303,25.75757576,-2.27272727,81.06060606,0.51866978,40,40,3,2,7.5,5.0,-2.5
java_repository__rq1__gpt_oss_120b_thinking__base__fh,132,132,0,0,0,9,5,11,107,10.60606061,15.15151515,4.54545454,87.87878788,0.46232179,40,40,1,2,2.5,5.0,2.5
java_repository__rq1__gpt_oss_120b_thinking__golden__fh,132,132,0,0,0,5,7,15,105,9.09090909,15.15151515,6.06060606,83.33333333,0.22435897,40,40,0,1,0.0,2.5,2.5
java_repository__rq1__gpt_oss_20b_non_thinking__base__fh,132,132,0,0,0,21,8,17,86,21.96969697,28.78787879,6.81818182,81.06060606,0.50301205,40,40,5,7,12.5,17.5,5.0
java_repository__rq1__gpt_oss_20b_non_thinking__golden__fh,132,131,1,0,0,28,11,16,76,29.77099237,33.58778626,3.81679389,79.38931298,0.52466066,40,39,5,4,12.82051282,10.25641026,-2.56410256
java_repository__rq1__gpt_oss_20b_thinking__base__fh,132,132,0,0,0,14,13,12,93,20.45454545,19.6969697,-0.75757575,81.06060606,0.40987124,40,40,4,2,10.0,5.0,-5.0
java_repository__rq1__gpt_oss_20b_thinking__golden__fh,132,132,0,0,0,27,10,21,74,28.03030303,36.36363636,8.33333333,76.51515152,0.46635368,40,40,4,3,10.0,7.5,-2.5
java_repository__rq1__qwen3_235b_a22b_instruct_2507__base__fh,132,132,0,0,0,29,14,24,65,32.57575758,40.15151515,7.57575757,71.21212121,0.38180922,40,40,8,10,20.0,25.0,5.0
java_repository__rq1__qwen3_235b_a22b_instruct_2507__golden__fh,132,132,0,0,0,56,21,17,38,58.33333333,55.3030303,-3.03030303,71.21212121,0.41388175,40,40,9,9,22.5,22.5,0.0
java_repository__rq1__qwen3_235b_a22b_thinking__base__fh,132,132,0,0,0,30,9,28,65,29.54545455,43.93939394,14.39393939,71.96969697,0.41014493,40,40,8,12,20.0,30.0,10.0
java_repository__rq1__qwen3_235b_a22b_thinking__golden__fh,132,132,0,0,0,41,16,33,42,43.18181818,56.06060606,12.87878788,62.87878788,0.2696477,40,40,6,10,15.0,25.0,10.0
java_repository__rq1__qwen3_30b_a3b_non_thinking__base__fh,132,132,0,0,0,22,12,20,78,25.75757576,31.81818182,6.06060606,75.75757576,0.41137124,40,40,5,8,12.5,20.0,7.5
java_repository__rq1__qwen3_30b_a3b_non_thinking__golden__fh,132,132,0,0,0,41,23,20,48,48.48484848,46.21212121,-2.27272727,67.42424242,0.34698573,40,40,6,9,15.0,22.5,7.5
java_repository__rq1__qwen3_30b_a3b_thinking__base__fh,132,132,0,0,0,21,9,24,78,22.72727273,34.09090909,11.36363636,75.0,0.395,40,40,5,8,12.5,20.0,7.5
java_repository__rq1__qwen3_30b_a3b_thinking__golden__fh,132,132,0,0,0,44,15,21,52,44.6969697,49.24242424,4.54545454,72.72727273,0.45366751,40,40,4,9,10.0,22.5,12.5
java_repository__rq1__qwen3_coder_480b_a35b_instruct__base__fh,132,132,0,0,0,29,11,27,65,30.3030303,42.42424242,12.12121212,71.21212121,0.38769531,40,40,6,9,15.0,22.5,7.5
java_repository__rq1__qwen3_coder_480b_a35b_instruct__golden__fh,132,132,0,0,0,47,25,18,42,54.54545455,49.24242424,-5.30303031,67.42424242,0.34938102,40,40,8,6,20.0,15.0,-5.0
java_repository__rq2__deepseek_v31_thinking__base__ce,132,132,0,0,0,25,12,27,68,28.03030303,39.39393939,11.36363636,70.45454545,0.34835443,40,40,6,7,15.0,17.5,2.5
java_repository__rq2__deepseek_v31_thinking__base__ci,132,132,0,0,0,21,5,21,85,19.6969697,31.81818182,12.12121212,80.3030303,0.49469965,40,40,1,4,2.5,10.0,7.5
java_repository__rq2__deepseek_v31_thinking__golden__ce,132,132,0,0,0,54,29,18,31,62.87878788,54.54545455,-8.33333333,64.39393939,0.27080395,40,40,9,9,22.5,22.5,0.0
java_repository__rq2__gpt_oss_20b_non_thinking__base__ce,132,132,0,0,0,24,10,16,82,25.75757576,30.3030303,4.54545454,80.3030303,0.51305335,40,40,7,6,17.5,15.0,-2.5
java_repository__rq2__gpt_oss_20b_non_thinking__base__ci,132,132,0,0,0,16,5,16,95,15.90909091,24.24242424,8.33333333,84.09090909,0.50955414,40,40,1,2,2.5,5.0,2.5
java_repository__rq2__gpt_oss_20b_non_thinking__golden__ce,132,132,0,0,0,44,30,11,47,56.06060606,41.66666667,-14.39393939,68.93939394,0.39108911,40,40,8,6,20.0,15.0,-5.0
java_repository__rq2__gpt_oss_20b_thinking__base__ce,132,132,0,0,0,14,14,19,85,21.21212121,25.0,3.78787879,75.0,0.29787234,40,40,4,6,10.0,15.0,5.0
java_repository__rq2__gpt_oss_20b_thinking__base__ci,132,132,0,0,0,14,3,16,99,12.87878788,22.72727273,9.84848485,85.60606061,0.5162037,40,40,1,2,2.5,5.0,2.5
java_repository__rq2__gpt_oss_20b_thinking__golden__ce,132,132,0,0,0,37,29,19,47,50.0,42.42424242,-7.57575758,63.63636364,0.27272727,40,40,5,3,12.5,7.5,-5.0
java_repository__rq2__qwen3_coder_480b_a35b_instruct__base__ce,132,132,0,0,0,32,18,20,62,37.87878788,39.39393939,1.51515151,71.21212121,0.39303001,40,40,13,8,32.5,20.0,-12.5
java_repository__rq2__qwen3_coder_480b_a35b_instruct__base__ci,132,132,0,0,0,17,6,25,84,17.42424242,31.81818182,14.3939394,76.51515152,0.38447653,40,40,0,4,0.0,10.0,10.0
java_repository__rq2__qwen3_coder_480b_a35b_instruct__golden__ce,132,132,0,0,0,53,32,17,30,64.39393939,53.03030303,-11.36363636,62.87878788,0.24439252,40,40,11,11,27.5,27.5,0.0
python_function__rq1__deepseek_v31_non_thinking__base__fh,560,560,0,0,0,207,83,139,131,51.78571429,61.78571429,10.0,60.35714286,0.20041163,142,142,29,49,20.42253521,34.50704225,14.08450704
python_function__rq1__deepseek_v31_non_thinking__golden__fh,560,560,0,0,0,246,117,89,108,64.82142857,59.82142857,-5.0,63.21428571,0.21879867,142,142,29,39,20.42253521,27.46478873,7.04225352
python_function__rq1__deepseek_v31_thinking__base__fh,560,560,0,0,0,183,85,151,141,47.85714286,59.64285714,11.78571428,57.85714286,0.16405222,142,142,20,46,14.08450704,32.3943662,18.30985916
python_function__rq1__deepseek_v31_thinking__golden__fh,560,560,0,0,0,242,112,100,106,63.21428571,61.07142857,-2.14285714,62.14285714,0.19579472,142,142,26,40,18.30985915,28.16901408,9.85915493
python_function__rq1__gpt_5_mini__base__fh,560,560,0,0,0,172,92,153,143,47.14285714,58.03571429,10.89285715,56.25,0.13296259,142,142,27,53,19.01408451,37.32394366,18.30985915
python_function__rq1__gpt_5_mini__golden__fh,560,560,0,0,0,239,117,133,71,63.57142857,66.42857143,2.85714286,55.35714286,0.01971768,142,142,34,42,23.94366197,29.57746479,5.63380282
python_function__rq1__gpt_oss_120b_thinking__base__fh,560,560,0,0,0,192,97,140,131,51.60714286,59.28571429,7.67857143,57.67857143,0.14848843,142,142,28,42,19.71830986,29.57746479,9.85915493
python_function__rq1__gpt_oss_120b_thinking__golden__fh,560,560,0,0,0,249,118,99,94,65.53571429,62.14285714,-3.39285715,61.25,0.16174604,142,142,39,38,27.46478873,26.76056338,-0.70422535
python_function__rq1__gpt_oss_20b_non_thinking__base__fh,560,560,0,0,0,174,103,122,161,49.46428571,52.85714286,3.39285715,59.82142857,0.19692025,142,142,27,36,19.01408451,25.35211268,6.33802817
python_function__rq1__gpt_oss_20b_non_thinking__golden__fh,560,560,0,0,0,241,116,110,93,63.75,62.67857143,-1.07142857,59.64285714,0.13235435,142,142,28,47,19.71830986,33.09859155,13.38028169
python_function__rq1__gpt_oss_20b_thinking__base__fh,560,560,0,0,0,185,101,132,142,51.07142857,56.60714286,5.53571429,58.39285714,0.16549413,142,142,23,36,16.1971831,25.35211268,9.15492958
python_function__rq1__gpt_oss_20b_thinking__golden__fh,560,560,0,0,0,238,122,108,92,64.28571429,61.78571429,-2.5,58.92857143,0.11925602,142,142,31,32,21.83098592,22.53521127,0.70422535
python_function__rq1__qwen3_235b_a22b_instruct_2507__base__fh,560,560,0,0,0,194,105,117,144,53.39285714,55.53571429,2.14285715,60.35714286,0.20114123,142,142,23,50,16.1971831,35.21126761,19.01408451
python_function__rq1__qwen3_235b_a22b_instruct_2507__golden__fh,560,560,0,0,0,256,114,104,86,66.07142857,64.28571429,-1.78571428,61.07142857,0.14269663,142,142,28,45,19.71830986,31.69014085,11.97183099
python_function__rq1__qwen3_235b_a22b_thinking__base__fh,560,560,0,0,0,224,51,182,103,49.10714286,72.5,23.39285714,58.39285714,0.1744907,142,142,22,68,15.49295775,47.88732394,32.39436619
python_function__rq1__qwen3_235b_a22b_thinking__golden__fh,560,560,0,0,0,257,91,120,92,62.14285714,67.32142857,5.17857143,62.32142857,0.17720461,142,142,25,54,17.6056338,38.02816901,20.42253521
python_function__rq1__qwen3_30b_a3b_non_thinking__base__fh,560,560,0,0,0,143,77,140,200,39.28571429,50.53571429,11.25,61.25,0.22677526,142,142,12,33,8.45070423,23.23943662,14.78873239
python_function__rq1__qwen3_30b_a3b_non_thinking__golden__fh,560,560,0,0,0,212,103,100,145,56.25,55.71428571,-0.53571429,63.75,0.26449275,142,142,15,31,10.56338028,21.83098592,11.26760564
python_function__rq1__qwen3_30b_a3b_thinking__base__fh,560,560,0,0,0,182,70,153,155,45.0,59.82142857,14.82142857,60.17857143,0.21891419,142,142,17,44,11.97183099,30.98591549,19.0140845
python_function__rq1__qwen3_30b_a3b_thinking__golden__fh,560,560,0,0,0,237,108,102,113,61.60714286,60.53571429,-1.07142857,62.5,0.21142627,142,142,22,41,15.49295775,28.87323944,13.38028169
python_function__rq1__qwen3_coder_480b_a35b_instruct__base__fh,560,560,0,0,0,215,85,123,137,53.57142857,60.35714286,6.78571429,62.85714286,0.24598654,142,142,28,54,19.71830986,38.02816901,18.30985915
python_function__rq1__qwen3_coder_480b_a35b_instruct__golden__fh,560,560,0,0,0,258,111,96,95,65.89285714,63.21428571,-2.67857143,63.03571429,0.19291503,142,142,32,43,22.53521127,30.28169014,7.74647887
python_function__rq2__deepseek_v31_thinking__base__ce,560,560,0,0,0,195,79,152,134,48.92857143,61.96428571,13.03571428,58.75,0.17920865,142,142,21,50,14.78873239,35.21126761,20.42253522
python_function__rq2__deepseek_v31_thinking__base__ci,560,560,0,0,0,206,65,158,131,48.39285714,65.0,16.60714286,60.17857143,0.21117793,142,142,18,46,12.67605634,32.3943662,19.71830986
python_function__rq2__deepseek_v31_thinking__golden__ce,560,560,0,0,0,223,121,106,110,61.42857143,58.75,-2.67857143,59.46428571,0.15550595,142,142,22,37,15.49295775,26.05633803,10.56338028
python_function__rq2__gpt_oss_20b_non_thinking__base__ce,560,560,0,0,0,175,119,119,147,52.5,52.5,0.0,57.5,0.14786967,142,142,30,29,21.12676056,20.42253521,-0.70422535
python_function__rq2__gpt_oss_20b_non_thinking__base__ci,560,560,0,0,0,215,85,147,113,53.57142857,64.64285714,11.07142857,58.57142857,0.1537259,142,142,28,41,19.71830986,28.87323944,9.15492958
python_function__rq2__gpt_oss_20b_non_thinking__golden__ce,560,560,0,0,0,237,134,91,98,66.25,58.57142857,-7.67857143,59.82142857,0.14901664,142,142,33,32,23.23943662,22.53521127,-0.70422535
python_function__rq2__gpt_oss_20b_thinking__base__ce,560,560,0,0,0,189,101,121,149,51.78571429,55.35714286,3.57142857,60.35714286,0.20409731,142,142,31,39,21.83098592,27.46478873,5.63380281
python_function__rq2__gpt_oss_20b_thinking__base__ci,560,560,0,0,0,215,78,154,113,52.32142857,65.89285714,13.57142857,58.57142857,0.15901765,142,142,25,40,17.6056338,28.16901408,10.56338028
python_function__rq2__gpt_oss_20b_thinking__golden__ce,560,560,0,0,0,240,126,92,102,65.35714286,59.28571429,-6.07142857,61.07142857,0.17433178,142,142,30,31,21.12676056,21.83098592,0.70422536
python_function__rq2__qwen3_coder_480b_a35b_instruct__base__ce,560,560,0,0,0,211,89,119,141,53.57142857,58.92857143,5.35714286,62.85714286,0.24754522,142,142,30,51,21.12676056,35.91549296,14.7887324
python_function__rq2__qwen3_coder_480b_a35b_instruct__base__ci,560,560,0,0,0,209,82,162,107,51.96428571,66.25,14.28571429,56.42857143,0.11730126,142,142,19,51,13.38028169,35.91549296,22.53521127
python_function__rq2__qwen3_coder_480b_a35b_instruct__golden__ce,560,560,0,0,0,244,123,92,101,65.53571429,60.0,-5.53571429,61.60714286,0.18126428,142,142,29,42,20.42253521,29.57746479,9.15492958
python_repository__rq1__deepseek_v31_non_thinking__base__fh,377,377,0,0,0,36,88,51,202,32.89124668,23.07692308,-9.8143236,63.12997347,0.09604802,89,89,5,9,5.61797753,10.11235955,4.49438202
python_repository__rq1__deepseek_v31_non_thinking__golden__fh,377,377,0,0,0,34,119,46,178,40.58355438,21.22015915,-19.36339523,56.23342175,0.01824466,89,89,5,6,5.61797753,6.74157303,1.1235955
python_repository__rq1__deepseek_v31_thinking__base__fh,377,377,0,0,0,33,93,58,193,33.42175066,24.13793103,-9.28381963,59.9469496,0.03311989,89,89,2,10,2.24719101,11.23595506,8.98876405
python_repository__rq1__deepseek_v31_thinking__golden__fh,377,377,0,0,0,37,123,53,164,42.4403183,23.87267905,-18.56763925,53.31564987,-0.01378151,89,89,6,8,6.74157303,8.98876404,2.24719101
python_repository__rq1__gpt_5_mini__base__fh,377,377,0,0,0,51,97,58,171,39.25729443,28.91246684,-10.34482759,58.88594164,0.09578337,89,89,6,10,6.74157303,11.23595506,4.49438203
python_repository__rq1__gpt_5_mini__golden__fh,377,377,0,0,0,49,112,51,165,42.70557029,26.52519894,-16.18037135,56.76392573,0.07169509,89,89,7,7,7.86516854,7.86516854,0.0
python_repository__rq1__gpt_oss_120b_thinking__base__fh,377,377,0,0,0,36,85,62,194,32.09549072,25.99469496,-6.10079576,61.00795756,0.05825276,89,89,4,8,4.49438202,8.98876404,4.49438202
python_repository__rq1__gpt_oss_120b_thinking__golden__fh,377,377,0,0,0,43,96,50,188,36.87002653,24.66843501,-12.20159152,61.27320955,0.10660607,89,89,3,5,3.37078652,5.61797753,2.24719101
python_repository__rq1__gpt_oss_20b_non_thinking__base__fh,377,375,2,0,0,24,83,53,215,28.53333333,20.53333333,-8.0,63.73333333,0.02897833,89,87,1,6,1.14942529,6.89655172,5.74712643
python_repository__rq1__gpt_oss_20b_non_thinking__golden__fh,377,375,2,0,0,39,107,56,173,38.93333333,25.33333333,-13.6,56.53333333,0.02410793,89,87,4,11,4.59770115,12.64367816,8.04597701
python_repository__rq1__gpt_oss_20b_thinking__base__fh,373,373,0,0,0,33,77,58,205,29.49061662,24.39678284,-5.09383378,63.80697051,0.0836715,88,88,2,9,2.27272727,10.22727273,7.95454546
python_repository__rq1__gpt_oss_20b_thinking__golden__fh,372,372,0,0,0,38,99,48,187,36.82795699,23.11827957,-13.70967742,60.48387097,0.07926994,88,88,3,7,3.40909091,7.95454545,4.54545454
python_repository__rq1__qwen3_235b_a22b_instruct_2507__base__fh,377,377,0,0,0,25,93,44,215,31.29973475,18.30238727,-12.99734748,63.66047745,0.04733007,89,89,4,8,4.49438202,8.98876404,4.49438202
python_repository__rq1__qwen3_235b_a22b_instruct_2507__golden__fh,377,377,0,0,0,41,117,51,168,41.90981432,24.40318302,-17.5066313,55.43766578,0.02826107,89,89,4,4,4.49438202,4.49438202,0.0
python_repository__rq1__qwen3_235b_a22b_thinking__base__fh,377,377,0,0,0,22,64,51,240,22.81167109,19.36339523,-3.44827586,69.49602122,0.08508663,89,89,2,3,2.24719101,3.37078652,1.12359551
python_repository__rq1__qwen3_235b_a22b_thinking__golden__fh,377,377,0,0,0,24,65,45,243,23.60742706,18.30238727,-5.30503979,70.82228117,0.12295914,89,89,2,1,2.24719101,1.12359551,-1.1235955
python_repository__rq1__qwen3_30b_a3b_non_thinking__base__fh,377,377,0,0,0,23,74,33,247,25.72944297,14.85411141,-10.87533156,71.61803714,0.13836854,89,89,2,3,2.24719101,3.37078652,1.12359551
python_repository__rq1__qwen3_30b_a3b_non_thinking__golden__fh,377,377,0,0,0,24,110,46,197,35.54376658,18.56763926,-16.97612732,58.62068966,-0.01141914,89,89,4,2,4.49438202,2.24719101,-2.24719101
python_repository__rq1__qwen3_30b_a3b_thinking__base__fh,377,377,0,0,0,29,69,45,234,25.99469496,19.62864721,-6.36604775,69.76127321,0.14624553,89,89,1,4,1.12359551,4.49438202,3.37078651
python_repository__rq1__qwen3_30b_a3b_thinking__golden__fh,377,377,0,0,0,29,98,54,196,33.68700265,22.01591512,-11.67108753,59.68169761,0.01349676,89,89,3,1,3.37078652,1.12359551,-2.24719101
python_repository__rq1__qwen3_coder_480b_a35b_instruct__base__fh,377,377,0,0,0,30,88,54,205,31.29973475,22.28116711,-9.01856764,62.33421751,0.04963607,89,89,2,7,2.24719101,7.86516854,5.61797753
python_repository__rq1__qwen3_coder_480b_a35b_instruct__golden__fh,377,377,0,0,0,43,127,49,158,45.0928382,24.40318302,-20.68965518,53.31564987,0.01692002,89,89,4,6,4.49438202,6.74157303,2.24719101
python_repository__rq2__deepseek_v31_thinking__base__ce,377,377,0,0,0,37,85,54,201,32.36074271,24.13793103,-8.22281168,63.12997347,0.0980085,89,89,6,9,6.74157303,10.11235955,3.37078652
python_repository__rq2__deepseek_v31_thinking__base__ci,377,377,0,0,0,37,95,64,181,35.0132626,26.79045093,-8.22281167,57.82493369,0.02017098,89,89,4,7,4.49438202,7.86516854,3.37078652
python_repository__rq2__deepseek_v31_thinking__golden__ce,377,377,0,0,0,31,116,51,179,38.99204244,21.75066313,-17.24137931,55.70291777,-0.0117959,89,89,5,3,5.61797753,3.37078652,-2.24719101
python_repository__rq2__gpt_oss_20b_non_thinking__base__ce,377,374,3,0,0,16,59,57,242,20.05347594,19.51871658,-0.53475936,68.98395722,0.0229269,89,86,0,5,0.0,5.81395349,5.81395349
python_repository__rq2__gpt_oss_20b_non_thinking__base__ci,377,373,4,0,0,34,82,52,205,31.09919571,23.05630027,-8.04289544,64.07506702,0.09770011,89,85,4,3,4.70588235,3.52941176,-1.17647059
python_repository__rq2__gpt_oss_20b_non_thinking__golden__ce,377,375,2,0,0,23,95,55,202,31.46666667,20.8,-10.66666667,60.0,-0.02101939,89,87,2,0,2.29885057,0.0,-2.29885057
python_repository__rq2__gpt_oss_20b_thinking__base__ce,377,376,1,0,0,24,54,64,234,20.74468085,23.40425532,2.65957447,68.61702128,0.08872823,89,88,0,7,0.0,7.95454545,7.95454545
python_repository__rq2__gpt_oss_20b_thinking__base__ci,377,376,1,0,0,33,81,66,196,30.31914894,26.32978723,-3.98936171,60.90425532,0.03901523,89,88,3,9,3.40909091,10.22727273,6.81818182
python_repository__rq2__gpt_oss_20b_thinking__golden__ce,377,377,0,0,0,22,100,53,202,32.36074271,19.8938992,-12.46684351,59.41644562,-0.03058836,89,89,2,0,2.24719101,0.0,-2.24719101
